Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
NRBC_abs,--,0.99,1,0,0.08,0.0,0.0366,0.5367,0.6261,9.8,0.1171,15.3
Neutro_abs,--,0.5,1232,342,92.84,85.29,0.016,0.2882,0.6237,5.2,0.2,30.2
Neutro_abs,--,0.625,1017,256,76.64,63.84,0.016,0.2882,0.6237,5.2,0.2,30.2
Neutro_abs,--,0.75,598,129,45.06,32.17,0.016,0.2882,0.6237,5.2,0.2,30.2
Neutro_abs,--,0.85,4,1,0.3,0.25,0.016,0.2882,0.6237,5.2,0.2,30.2
Neutro_abs,--,0.875,4,1,0.3,0.25,0.016,0.2882,0.6237,5.2,0.2,30.2
Neutro_abs,--,0.99,4,1,0.3,0.25,0.016,0.2882,0.6237,5.2,0.2,30.2
O2_saturation,--,0.5,0,0,0.0,0.0,0.0231,0.0231,0.5954,-0.5,0.0444,95.4
O2_saturation,--,0.625,0,0,0.0,0.0,0.0231,0.0231,0.5954,-0.5,0.0444,95.4
O2_saturation,--,0.75,0,0,0.0,0.0,0.0231,0.0231,0.5954,-0.5,0.0444,95.4
O2_saturation,--,0.85,0,0,0.0,0.0,0.0231,0.0231,0.5954,-0.5,0.0444,95.4
O2_saturation,--,0.875,0,0,0.0,0.0,0.0231,0.0231,0.5954,-0.5,0.0444,95.4
O2_saturation,--,0.99,0,0,0.0,0.0,0.0231,0.0231,0.5954,-0.5,0.0444,95.4
Osmolality,--,0.5,4457,1600,93.26,89.84,0.014,0.25,0.5802,2.5,0.2279,37.3
Osmolality,--,0.625,2467,800,51.62,44.92,0.014,0.25,0.5802,2.5,0.2279,37.3
Osmolality,--,0.75,44,6,0.92,0.34,0.014,0.25,0.5802,2.5,0.2279,37.3
Osmolality,--,0.85,3,0,0.06,0.0,0.014,0.25,0.5802,2.5,0.2279,37.3
Osmolality,--,0.875,3,0,0.06,0.0,0.014,0.25,0.5802,2.5,0.2279,37.3
Osmolality,--,0.99,1,0,0.02,0.0,0.014,0.25,0.5802,2.5,0.2279,37.3
Oxyhemoglobin,--,0.5,0,0,0.0,0.0,0.0271,0.081,0.5799,-0.8,0.0547,94.2
Oxyhemoglobin,--,0.625,0,0,0.0,0.0,0.0271,0.081,0.5799,-0.8,0.0547,94.2
Oxyhemoglobin,--,0.75,0,0,0.0,0.0,0.0271,0.081,0.5799,-0.8,0.0547,94.2
Oxyhemoglobin,--,0.85,0,0,0.0,0.0,0.0271,0.081,0.5799,-0.8,0.0547,94.2
Oxyhemoglobin,--,0.875,0,0,0.0,0.0,0.0271,0.081,0.5799,-0.8,0.0547,94.2
Oxyhemoglobin,--,0.99,0,0,0.0,0.0,0.0271,0.081,0.5799,-0.8,0.0547,94.2
PLT,--,0.5,1280,201,96.53,84.81,0.0209,0.1667,0.6763,10.7,0.1311,17.9
PLT,--,0.625,1277,200,96.3,84.39,0.0209,0.1667,0.6763,10.7,0.1311,17.9
PLT,--,0.75,1209,184,91.18,77.64,0.0209,0.1667,0.6763,10.7,0.1311,17.9
PLT,--,0.85,630,66,47.51,27.85,0.0209,0.1667,0.6763,10.7,0.1311,17.9
PLT,--,0.875,576,54,43.44,22.78,0.0209,0.1667,0.6763,10.7,0.1311,17.9
PLT,--,0.99,4,0,0.3,0.0,0.0209,0.1667,0.6763,10.7,0.1311,17.9
